date,uci,usd_uzs,trading_volume,trading_value,log_uci,log_fx,r_uci,r_fx,zero_return_uci,zero_volume_uci,zero_value_uci,post_reform
2019-09-27,625.23,9424.54,3301243,3503025429.07,6.438119582041009,9.151072204759094,-1.2303445615137854,0.1405830818331566,0,0,0,1
2019-10-04,628.48,9446.65,49906164,3974223041.25,6.443304205726046,9.15341546028425,0.5184623685037693,0.23432555251563514,0,0,0,1
2019-10-11,620.04,9433.34,32794200,4842099878.09,6.429783992087094,9.15200550167675,-1.3520213638952505,-0.14099586074998172,0,0,0,1
2019-10-18,623.01,9455.24,891742,2522323055.57,6.434562570022997,9.154324364165435,0.47785779359035274,0.23188624886838483,0,0,0,1
2019-10-25,613.22,9448.53,1176519,3312980923.05,6.418723762251816,9.153614452832212,-1.5838807771181074,-0.07099113332227347,0,0,0,1
2019-11-01,617.81,9463.37,1439081,6942700995.8,6.426180966821595,9.155183835395135,0.7457204569778497,0.15693825629234937,0,0,0,1
2019-11-08,616.81,9467.27,3866748,2206628654.46,6.424561034828461,9.155595865844731,-0.16199319931340384,0.041203044959559065,0,0,0,1
2019-11-15,623.24,9490.77,3176525,1698898331.7399998,6.434931677349154,9.158075026352503,1.037064252069353,0.24791605077716383,0,0,0,1
2019-11-22,621.7,9500.96,56071152,1947564046.6,6.432457661275292,9.159148125114738,-0.24740160738625505,0.10730987622356025,0,0,0,1
2019-11-29,625.51,9494.68,31999883,2053632119.92,6.4385673169894035,9.158486920730068,0.6109655714111817,-0.06612043846700999,0,0,0,1
2019-12-06,608.57,9510.99,61692952,754618512.76,6.411111942787508,9.160203251067681,-2.745537420189592,0.17163303376133143,0,0,0,1
2019-12-13,612.81,9537.55,5318448,715910806.31,6.418054936831094,9.162991918042929,0.6942994043586559,0.2788666975247267,0,0,0,1
2019-12-20,613.16,9532.4,4869738,1330050557.09,6.418625913297906,9.162451801249208,0.05709764668120343,-0.05401167937204576,0,0,0,1
2019-12-27,626.46,9516.37,2100324608,4501480795.55,6.440084925530074,9.160768752550112,2.1459012232167396,-0.16830486990961901,0,0,0,1
2020-01-03,643.15,9507.56,152209109,409374909.22,6.466377978524725,9.15984255058976,2.6293052994651234,-0.0926201960352202,0,0,0,1
2020-01-10,627.87,9507.89,7399019,1614817275.34,6.442333138669996,9.159877259208281,-2.404483985472883,0.0034708618521506196,0,0,0,1
2020-01-17,624.73,9550.76,1601625,1282032155.98,6.437319556397519,9.164376011460197,-0.5013582272477279,0.4498752251915761,0,0,0,1
2020-01-24,634.91,9547.05,3266242,1422340047.16,6.453483256564258,9.16398748523162,1.6163700166739403,-0.03885262285763247,0,0,0,1
2020-01-31,642.83,9563.33,2925559,1064310305.19,6.4658803035894925,9.165691271753737,1.2397047025234365,0.1703786522115891,0,0,0,1
2020-02-07,625.46,9541.74,854152,427553260.29999995,6.4384873790212245,9.163431137748416,-2.739292456826803,-0.22601340053203245,0,0,0,1
