date,dataset,variable,window,q,variance_ratio,z_robust,p_robust,reject_5pct_robust
2025-01-13,daily_fx,r_fx,500,4,0.8688097954278174,-1.501617587010061,0.13319589868980186,False
2025-01-14,daily_fx,r_fx,500,4,0.8699921674737621,-1.4879666634672035,0.13675968539590233,False
2025-01-15,daily_fx,r_fx,500,4,0.8723348666701325,-1.4603335656386132,0.14419842138159877,False
2025-01-16,daily_fx,r_fx,500,4,0.8734655845887401,-1.4455120245364734,0.14831411794703286,False
2025-01-17,daily_fx,r_fx,500,4,0.874320801876679,-1.4343178017071492,0.15148159250026993,False
2025-01-20,daily_fx,r_fx,500,4,0.8750179778072902,-1.425967422847417,0.15387774577398416,False
2025-01-21,daily_fx,r_fx,500,4,0.8750915979108409,-1.4251209071213282,0.154122254103086,False
2025-01-22,daily_fx,r_fx,500,4,0.8767854665246713,-1.4020620950330749,0.16089670486779717,False
2025-01-23,daily_fx,r_fx,500,4,0.877222141156141,-1.3972168549178616,0.16234836970148492,False
2025-01-24,daily_fx,r_fx,500,4,0.8764301505592295,-1.407797442269967,0.1591910579710274,False
2025-01-27,daily_fx,r_fx,500,4,0.8766679745745715,-1.4034017488503232,0.1604970717936327,False
2025-01-28,daily_fx,r_fx,500,4,0.8788279410020727,-1.37412275733628,0.1694035755033685,False
2025-01-29,daily_fx,r_fx,500,4,0.8785436253527915,-1.3765149946905797,0.16866224822936826,False
2025-01-30,daily_fx,r_fx,500,4,0.8802419833844272,-1.357773884384479,0.17453544411353272,False
2025-01-31,daily_fx,r_fx,500,4,0.8818547334080029,-1.338248428488103,0.18081546705199836,False
2025-02-03,daily_fx,r_fx,500,4,0.8820736153100261,-1.333055155014728,0.1825137044684273,False
2025-02-04,daily_fx,r_fx,500,4,0.8828268373912171,-1.3243079003345848,0.18540080778480772,False
2025-02-05,daily_fx,r_fx,500,4,0.8834887917523713,-1.3163862421522095,0.18804443771681756,False
2025-02-06,daily_fx,r_fx,500,4,0.8810744846367128,-1.3460082158095734,0.17829986699082134,False
2025-02-07,daily_fx,r_fx,500,4,0.8822207342618362,-1.3311171062767704,0.18315048112696264,False
2025-02-10,daily_fx,r_fx,500,4,0.8868154186546099,-1.273777022340946,0.20274245065552154,False
2025-02-11,daily_fx,r_fx,500,4,0.88466449855233,-1.2979627199146129,0.19430014579096655,False
2025-02-12,daily_fx,r_fx,500,4,0.8823691175699399,-1.323830070952059,0.18555948674513223,False
2025-02-13,daily_fx,r_fx,500,4,0.8798237505848227,-1.3520238335969437,0.17636769101194005,False
2025-02-14,daily_fx,r_fx,500,4,0.8815070375991025,-1.331959622424357,0.18287345708661862,False
2025-02-17,daily_fx,r_fx,500,4,0.8808432396864935,-1.3409105491601412,0.17994949675596184,False
2025-02-18,daily_fx,r_fx,500,4,0.8803197943827012,-1.3481494025937149,0.177610334602202,False
